id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,Rolling Edit Tool,Premiere Pro,Toolbar,"Moves the cut point between two clips without changing the overall duration — one clip gets longer, the other shorter. Perfect for retiming a cut to land on a music beat.",N,,intermediate,tool|rolling|cut point,edit,layer,move,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Rate Stretch Tool,Premiere Pro,Toolbar,Drags a clip's edge to change its playback speed so it fills exactly the space available. Quick for stretching a short flythrough to cover a voiceover line.,R,,intermediate,tool|speed|stretch,transform|edit,layer,scale,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Razor Tool,Premiere Pro,Toolbar,"Cuts a clip into two at the point you click; Shift-click cuts through all tracks. Most editors prefer Add Edit at the playhead, but the razor is direct and visual.",C,,beginner,tool|razor|cut,edit,layer,cut|split,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Slip Tool,Premiere Pro,Toolbar,Changes which portion of the source footage plays inside a clip without moving the clip or changing its length. Use it to catch the best moment of a camera move while keeping the cut rhythm intact.,Y,,advanced,tool|slip|timing,edit,layer,move,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Slide Tool,Premiere Pro,Toolbar,"Moves a clip earlier or later in the sequence while its neighbours trim to absorb the change, keeping total duration fixed. For nudging one shot's position within a locked montage.",U,,advanced,tool|slide|position,edit,layer,move,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Pen Tool,Premiere Pro,Toolbar,"Adds and adjusts keyframes on timeline rubber bands, such as audio volume and opacity, and draws freeform graphics. Click a clip's volume line with it to keyframe a music dip under narration.",P,,intermediate,tool|pen|keyframes|volume,edit|create,layer|point,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Hand Tool,Premiere Pro,Toolbar,Drags the timeline view left and right without moving any clips. Middle-mouse drag does the same from any tool.,H,,beginner,tool|hand|navigate,visualise,view,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Zoom Tool,Premiere Pro,Toolbar,"Zooms the timeline in where you click, or out with Alt held. Most editors use the plus and minus keys instead, but the tool allows marquee-zooming to an exact region.",Z,,beginner,tool|zoom|timeline,visualise,view,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Mark In,Premiere Pro,Markers > Mark In,"Sets the in point on the source monitor or sequence, defining where an edit range begins. The first half of three-point editing — mark the usable part of a shot before cutting it in.",I,,beginner,in point|mark|three-point,edit,layer|view,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Mark Out,Premiere Pro,Markers > Mark Out,"Sets the out point, completing the range for an insert, overwrite or export. With in and out set on the source, one keystroke drops exactly the shot you chose into the cut.",O,,beginner,out point|mark|three-point,edit,layer|view,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Go to In / Out,Premiere Pro,Markers > Go to In Point / Go to Out Point,Jumps the playhead straight to the marked in or out point. Keeps three-point editing entirely on the keyboard.,Shift+I / Shift+O,,beginner,in point|out point|navigate,edit,view,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Clear In and Out,Premiere Pro,Markers > Clear In and Out,"Removes the current in and out points in one stroke. Clear stale ranges before exporting, or you may accidentally export only a fragment.",Ctrl+Shift+X,,beginner,in point|out point|clear,edit,view,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Insert,Premiere Pro,Clip > Insert,Places the source clip at the playhead and pushes existing material later to make room. Use it when adding a shot mid-sequence without overwriting anything.,",",,intermediate,insert|edit|three-point,edit|create,layer,move,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Overwrite,Premiere Pro,Clip > Overwrite,"Places the source clip at the playhead on top of whatever is there, without shifting the sequence. The standard edit when laying shots over a locked music bed.",.,,intermediate,overwrite|edit|three-point,edit|create,layer,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Lift,Premiere Pro,Sequence > Lift,"Removes the material between the sequence in and out points, leaving a gap. Use it when timing elsewhere must not move.",;,,intermediate,lift|remove|range,edit,layer,cut,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Extract,Premiere Pro,Sequence > Extract,"Removes the material between in and out and ripples the gap closed. The range-based sibling of ripple delete, ideal for cutting a flabby section out of a draft.",',,intermediate,extract|remove|ripple,edit,layer,cut|move,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Add Edit,Premiere Pro,Sequence > Add Edit,Cuts the clips on targeted tracks at the playhead — a keyboard razor. Add Ctrl+Shift+K to cut through every track at once.,Ctrl+K,,beginner,add edit|cut|playhead,edit,layer,cut|split,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Ripple Delete,Premiere Pro,Right-click clip or gap > Ripple Delete,Deletes a clip or gap and closes the hole by pulling everything after it forward. The fastest way to keep a rough cut gapless as you strip out weak shots.,Shift+Delete,,beginner,ripple delete|gap|remove,edit,layer,cut|move,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Snap,Premiere Pro,Sequence > Snap,"Toggles magnetic snapping of clip edges to other edits, markers and the playhead. Leave it on for assembly; flick it off for delicate frame-level nudges.",S,,beginner,snap|magnet|timeline,organise|edit,layer,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Add Marker,Premiere Pro,Markers > Add Marker,"Drops a marker on the clip or sequence at the playhead, with optional notes and colours. Tap it on every music beat first, then cut shots to the markers.",M,,beginner,marker|beat|note,organise|document,layer|annotation,annotate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Go to Next Marker,Premiere Pro,Markers > Go to Next Marker,Jumps the playhead to the next marker; Ctrl+Shift+M goes back to the previous one. Turns beat markers into a navigation system for the whole edit.,Shift+M,,beginner,marker|navigate|timeline,organise,view|annotation,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Match Frame,Premiere Pro,Sequence > Match Frame,Loads the source clip into the Source Monitor parked on the exact frame under the playhead. Use it to grab an alternative take or extend a shot from its original footage.,F,,intermediate,match frame|source|find,analyse|edit,layer|view,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Select Clip at Playhead,Premiere Pro,Sequence > Selection Follows Playhead context,Selects whatever clip sits under the playhead on targeted tracks. Combined with property shortcuts it enables rapid keyboard-only clip adjustments.,D,,intermediate,select|playhead|clip,edit,layer,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Ripple Trim Previous Edit,Premiere Pro,Sequence > Ripple Trim Previous Edit Point to Playhead,"Trims from the previous cut up to the playhead and ripples the sequence closed. Park the playhead where the shot should start and tap Q — brutal, fast top-trimming.",Q,,intermediate,trim|ripple|top,edit,layer,cut|move,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Ripple Trim Next Edit,Premiere Pro,Sequence > Ripple Trim Next Edit Point to Playhead,Trims from the playhead forward to the next cut and closes the gap. The tail-trimming twin of Q — together they make rough cuts astonishingly quick.,W,,intermediate,trim|ripple|tail,edit,layer,cut|move,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Extend Selected Edit,Premiere Pro,Sequence > Extend Selected Edit to Playhead,"Rolls the selected edit point to the playhead position, lengthening one clip and shortening its neighbour. Select a cut, park the playhead on the beat, press E.",E,,advanced,extend|edit point|roll,edit,layer,move,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Toggle Trim Type,Premiere Pro,Double-click an edit point to enter trim mode; Shift+T cycles trim type,"Cycles the selected edit point between regular, ripple and rolling trims, shown by red or yellow brackets. Double-clicking a cut opens the dedicated trim view for refining it while looping playback.",Shift+T,,advanced,trim mode|edit point|cycle,edit,layer,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Speed/Duration,Premiere Pro,Clip > Speed/Duration,"Sets a clip's playback speed by percentage or target duration, with reverse and frame-blending options. Slow a 50 fps site clip to 50 percent for smooth half-speed motion.",Ctrl+R,,intermediate,speed|duration|retime,transform|edit,layer,scale,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Time Remapping,Premiere Pro,Clip > Show Clip Keyframes > Time Remapping > Speed,"Keyframes a clip's speed over time directly on the timeline rubber band, allowing ramps between fast and slow. Use it to glide quickly through a corridor then linger in the main space.",,,advanced,time remap|speed ramp|keyframes,transform|edit,layer|point,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Nest,Premiere Pro,Right-click selected clips > Nest,Collapses selected clips into a single nested sequence that can be trimmed and effected as one. Nest a finished montage section before applying a unified grade or transition.,,,intermediate,nest|sequence|group,organise,layer|layout,join,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Group,Premiere Pro,Clip > Group,"Links selected clips so they select and move together, without creating a new sequence. Lighter-weight than nesting for keeping a title and its backing plate in sync.",Ctrl+G,,beginner,group|clips|organise,organise,layer,join,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Ungroup,Premiere Pro,Clip > Ungroup,Releases grouped clips back to independent selection. Necessary before trimming one member differently from the rest.,Ctrl+Shift+G,,beginner,ungroup|clips,organise,layer,split,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Link / Unlink,Premiere Pro,Clip > Link (or Unlink),"Joins or separates a clip's video and audio so they move together or independently. Unlink to delete scratch audio from renders, or to slip sound against picture for a J-cut.",Ctrl+L,,intermediate,link|unlink|audio|video,organise|edit,layer,join|split,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Enable Clip,Premiere Pro,Clip > Enable,Toggles a clip on or off without deleting it — disabled clips render black and silent. Useful for comparing versions of a shot or muting an overlay during review.,Shift+E,,beginner,enable|disable|clip,edit|organise,layer,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Label Colours,Premiere Pro,Edit > Label,"Assigns colours to clips in the project and timeline. Colour-code by content — renders, drone footage, graphics, audio — so the timeline reads at a glance.",,,beginner,label|colour|organise,organise,layer,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Replace with Clip,Premiere Pro,Right-click timeline clip > Replace With Clip > From Source Monitor,"Swaps a timeline clip for the Source Monitor clip while keeping its position, duration and applied effects. Ideal for dropping in an updated render over an old placeholder version.",,,intermediate,replace|swap|update,edit,layer,copy,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Synchronise Clips,Premiere Pro,Clip > Synchronize,Aligns selected clips by their audio waveforms or timecode. The rescue for interview or walkthrough footage where camera audio and a separate recorder must line up.,,,intermediate,sync|audio|align,organise|edit,layer,join,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Merge Clips,Premiere Pro,Clip > Merge Clips,Combines a video clip with separately recorded audio into a single new clip for editing. Merge once in the project so every future cut uses the good sound automatically.,,,intermediate,merge|audio|dual system,organise,layer,join,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Paste Attributes,Premiere Pro,Edit > Paste Attributes,"Pastes chosen properties — motion, opacity, effects, colour — from a copied clip onto others. Grade one shot, then paste its Lumetri settings across the whole scene.",Ctrl+Alt+V,,intermediate,paste|attributes|effects|copy,edit,layer,copy,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Audio Gain,Premiere Pro,Clip > Audio Options > Audio Gain,"Adjusts a clip's audio level before it reaches the mixer, with a normalise option to a target loudness. Set music and voiceover gains here first, then fine-tune with keyframes.",G,,beginner,audio|gain|level|normalise,edit,layer,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Audio Track Mixer,Premiere Pro,Window > Audio Track Mixer,"A mixing-desk view with faders, pans and effects per track rather than per clip. Balance the music, ambience and narration tracks of a film here as a whole.",Shift+6,,advanced,audio|mixer|tracks|faders,edit|organise,layer,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Essential Sound Panel,Premiere Pro,Window > Essential Sound,"Tags audio as dialogue, music, SFX or ambience and offers plain-language tools — loudness matching, ducking, repair. Auto-ducking music under a voiceover takes seconds here.",,,intermediate,audio|essential sound|ducking|loudness,edit,layer,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Mute / Solo Track,Premiere Pro,Timeline track header M and S buttons,"Silences a track (M) or isolates it (S) during playback. Solo the narration to check clarity, mute the music to hear what the ambience is really doing.",,,beginner,mute|solo|track|audio,analyse|edit,layer,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Show Audio Waveforms,Premiere Pro,Timeline wrench menu > Show Audio Waveform,Displays waveforms on audio clips in the timeline. Expand the music track's height and cut visually to the drum hits.,,,beginner,waveform|audio|timeline|display,visualise|analyse,layer|view,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Effect Controls Panel,Premiere Pro,Window > Effect Controls,"Edits the selected clip's built-in motion, opacity and speed properties plus any applied effects, with keyframing. Where you scale a render to punch in, or keyframe a slow push on a still.",Shift+5,,beginner,effect controls|keyframes|motion|panel,edit|transform,layer|point,move|scale|rotate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Effects Panel,Premiere Pro,Window > Effects,Searches all video and audio effects and transitions for dragging onto clips. Type-search it rather than browsing — the folder tree is deep.,Shift+7,,beginner,effects|transitions|panel|search,create|edit,layer,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Apply Video Transition,Premiere Pro,Sequence > Apply Video Transition,"Adds the default transition — normally a cross dissolve — to the selected edit points. Set your preferred duration in preferences, and resist using anything fancier without a reason.",Ctrl+D,,beginner,transition|dissolve|default,create|edit,layer,smooth,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Apply Audio Transition,Premiere Pro,Sequence > Apply Audio Transition,Adds the default constant-power crossfade to selected audio edits. A short crossfade on every music and ambience cut removes clicks and bumps instantly.,Ctrl+Shift+D,,beginner,audio|crossfade|transition,create|edit,layer,smooth,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Lumetri Colour Panel,Premiere Pro,Window > Lumetri Colour,"The main grading interface — basic correction, creative LUTs, curves, colour wheels, HSL secondaries and vignette. Grade shot-matched sections on adjustment layers to keep the film's look coherent.",,,intermediate,lumetri|grade|colour|lut,visualise|edit,layer,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Lumetri Scopes,Premiere Pro,Window > Lumetri Scopes,"Displays waveform, vectorscope and histogram readouts of the programme image. Trust the scopes over your monitor when checking exposure and skin tones for delivery.",,,advanced,scopes|waveform|vectorscope|grade,analyse,view,measure,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Adjustment Layer,Premiere Pro,File > New > Adjustment Layer,Creates a transparent layer whose effects apply to every track beneath it. Lay one across a scene and grade it once instead of clip by clip.,,,intermediate,adjustment layer|grade|effects,create|visualise,layer,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Warp Stabiliser,Premiere Pro,Effects > Video Effects > Distort > Warp Stabilizer,Analyses and smooths shaky footage directly in the timeline. Apply it to handheld site walkthroughs; use Smooth Motion rather than No Motion to keep some life in the shot.,,,intermediate,stabilise|shake|footage,edit|analyse,layer,smooth,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Masking and Tracking,Premiere Pro,"Effect Controls > effect mask (ellipse, rectangle, pen) + tracker","Draws a mask on any effect so it applies only inside the shape, then tracks the mask to follow movement through the shot. Use it to brighten just the building facade or blur a passer-by's face.",,,advanced,mask|tracking|effect|isolate,edit|analyse,layer|curve,cut,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Essential Graphics Panel,Premiere Pro,Window > Essential Graphics,"Builds and edits titles, shapes and layered graphics, and browses installed Motion Graphics templates. Design a consistent lower-third for project captions once and reuse it throughout.",,,intermediate,graphics|titles|panel|templates,create|edit,layer|annotation,annotate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Type Tool,Premiere Pro,Toolbar,Creates text directly in the Programme Monitor as a graphic clip on the timeline. Fine for quick captions; style the result properly in the Essential Graphics panel.,T,,beginner,type|text|titles|tool,create,layer|annotation,annotate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Install Motion Graphics Template,Premiere Pro,Graphics and Titles > Install Motion Graphics Template (.mogrt),Adds a .mogrt file — often built in After Effects — to the Essential Graphics library for drag-and-drop use. Package your studio's animated titles as MOGRTs so every film shares the same identity.,,,intermediate,mogrt|template|graphics|reuse,create|organise,layer|annotation,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Export,Premiere Pro,File > Export > Media,"Opens the export view for choosing format, preset, range and destination. H.264 with a high-bitrate preset covers most client review and web delivery needs.",Ctrl+M,,beginner,export|render|delivery|h264,document,layout,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Export In to Out Range,Premiere Pro,Export view > Range > Sequence In/Out,Exports only the section between the sequence in and out points. Perfect for sending a single revised scene rather than re-rendering the whole film.,,,intermediate,export|range|in out,document,layout,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Send to Media Encoder Queue,Premiere Pro,Export view > Send to Media Encoder,Queues the export in Adobe Media Encoder so rendering happens in the background. Stack multiple formats — a 4K master and a compressed review copy — and keep editing meanwhile.,,,intermediate,media encoder|queue|background|export,document,layout,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Render In to Out,Premiere Pro,Sequence > Render In to Out,"Pre-renders the effects-heavy sections of the marked range so the timeline plays back smoothly, turning the render bar green. Do it before client playback sessions to avoid stutters.",Enter,,intermediate,render|preview|playback,visualise|organise,layout|view,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Play/Stop,Premiere Pro,Spacebar,Starts and stops playback in the active monitor. The most-pressed key in editing; pair it with JKL for speed control.,Space,,beginner,play|stop|playback,visualise,view,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,JKL Playback,Premiere Pro,"J (reverse), K (pause), L (forward)","Shuttle controls: L plays forward and speeds up on repeat presses, J does the same in reverse, K pauses. The professional way to scrub footage while logging site material.",J / K / L,,beginner,jkl|shuttle|playback|scrub,visualise,view,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Play Around,Premiere Pro,Shift+K plays around the playhead,Plays a few seconds either side of the playhead and stops. The quickest way to judge a trim in context without manually rewinding.,Shift+K,,intermediate,play around|review|trim,visualise|analyse,view,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Step One Frame,Premiere Pro,Left / Right arrow keys,Nudges the playhead a single frame backwards or forwards; Shift+arrow jumps five frames. Frame-stepping is how you find the exact cut point on a beat.,Left / Right,,beginner,frame|step|navigate,visualise|edit,view,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Go to Next Edit Point,Premiere Pro,Down arrow (Up arrow for previous),"Jumps the playhead to the next or previous cut on targeted tracks. Combined with Q, W and E it makes trimming an entirely keyboard-driven rhythm.",Down / Up,,beginner,edit point|navigate|timeline,edit,view|layer,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Toggle Full Screen,Premiere Pro,Ctrl+` toggles full-screen playback of the active monitor,Expands the active monitor to fill the screen for distraction-free review. Use it when showing a work-in-progress cut to colleagues at your desk.,Ctrl+`,,beginner,full screen|review|monitor,visualise,view,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Maximise Frame,Premiere Pro,Press ` with the pointer over a panel,"Temporarily expands the panel under the cursor to fill the workspace; press again to restore. Maximise the timeline for complex multi-track passages, then pop back.",`,,beginner,panel|maximise|workspace,visualise|organise,view,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Zoom Timeline In / Out,Premiere Pro,= and - keys (main keyboard),"Zooms the timeline view in and out around the playhead. Zoom in for frame-accurate trims, out for judging overall pacing.",= / -,,beginner,zoom|timeline|navigate,visualise,view,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Zoom to Sequence,Premiere Pro,Sequence > Zoom to Sequence,Fits the entire sequence into the timeline window. Tap it whenever you are lost deep in a zoomed view.,\,,beginner,zoom|fit|sequence,visualise,view,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Project Panel,Premiere Pro,Window > Projects (Shift+1 focuses it),"Focuses the Project panel, home of all bins, clips and sequences. Keyboard panel-switching (Shift+1 to Shift+9) keeps hands off the mouse during assembly.",Shift+1,,beginner,project|panel|focus,organise,layout,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Source Monitor,Premiere Pro,Window > Source Monitor (Shift+2 focuses it),"Focuses the Source Monitor, where raw clips are reviewed and marked before editing into the sequence. Load, mark in and out, then insert or overwrite — the classic loop.",Shift+2,,beginner,source monitor|review|panel,organise|edit,view,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Timeline Panel,Premiere Pro,Window > Timelines (Shift+3 focuses it),"Focuses the timeline, where the film is actually built. Panel focus matters — many shortcuts act on whichever panel is active.",Shift+3,,beginner,timeline|panel|focus,organise|edit,view|layout,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Programme Monitor,Premiere Pro,Window > Program Monitor (Shift+4 focuses it),"Focuses the Programme Monitor, showing the sequence at the playhead. Its safe margins, playback resolution and comparison view all live in its settings menu.",Shift+4,,beginner,programme monitor|playback|panel,visualise,view,navigate,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Deselect All,Premiere Pro,Edit > Deselect All,Clears the current selection in the active panel. Worth internalising because several commands behave differently when clips are selected versus not.,Ctrl+Shift+A,,beginner,deselect|selection|clips,edit,layer,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
