id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,Select Edge Loop Tool,Maya,Select,Selects a continuous loop of edges from one pick; double-clicking an edge does the same. The backbone of clean topology editing.,,,intermediate,selection|topology|polygon modelling,edit,mesh,navigate,,,https://www.autodesk.com/shortcuts/maya
,Select Edge Ring Tool,Maya,Select,"Selects the parallel ring of edges running across a loop, useful before connecting or bevelling a whole band of geometry.",,,intermediate,selection|topology|polygon modelling,edit,mesh,navigate,,,https://www.autodesk.com/shortcuts/maya
,Select Similar,Maya,Select,"Adds objects or components resembling the current selection, such as faces of similar area. Speeds up bulk edits across repetitive geometry.",,,intermediate,selection,edit,mesh,navigate,,,https://www.autodesk.com/shortcuts/maya
,Pick Walk,Maya,Viewport,"Steps the selection through the hierarchy or between neighbouring components using the arrow keys: up to parents, down to children.",Arrow Keys,,intermediate,selection|hierarchy|navigation,edit|organise,mesh|curve|surface,navigate,,,https://www.autodesk.com/shortcuts/maya
,Undo,Maya,Edit,Reverses the last action; press repeatedly to step back through history (Z alone also works). Raise the undo queue limit in Preferences for heavy modelling sessions.,Ctrl+Z,,beginner,editing|history,edit,mesh|curve|surface,navigate,,,https://www.autodesk.com/shortcuts/maya
,Redo,Maya,Edit,Reapplies an action you just undid (Shift+Z also works). Use alongside Undo to compare before-and-after states of an edit.,Ctrl+Y,,beginner,editing|history,edit,mesh|curve|surface,navigate,,,https://www.autodesk.com/shortcuts/maya
,Delete,Maya,Edit,Removes the selected objects or components from the scene. Deleting edges this way leaves stray vertices behind; use Delete Edge/Vertex for clean removal.,Delete,,beginner,editing,edit,mesh|curve|surface,cut,,,https://www.autodesk.com/shortcuts/maya
,New Scene,Maya,File,"Starts a fresh, empty scene, prompting you to save unsaved changes first.",Ctrl+N,,beginner,file|scene management,create,layout,navigate,,,https://www.autodesk.com/shortcuts/maya
,Open Scene,Maya,File,"Opens an existing Maya scene file, replacing the current one.",Ctrl+O,,beginner,file|scene management,organise,layout,navigate,,,https://www.autodesk.com/shortcuts/maya
,Save Scene,Maya,File,Saves the current scene to its file. Save often; combine with Increment and Save to keep dated versions of design stages.,Ctrl+S,,beginner,file|scene management,document,layout,navigate,,,https://www.autodesk.com/shortcuts/maya
,Save Scene As,Maya,File,"Saves the scene under a new name or location, useful for branching a design option without touching the original file.",Ctrl+Shift+S,,beginner,file|scene management,document,layout,copy,,,https://www.autodesk.com/shortcuts/maya
,Increment and Save,Maya,File,Saves a copy with an automatically incremented version number. A lightweight versioning habit that protects design iterations.,Ctrl+Alt+S,,intermediate,file|scene management|versioning,document,layout,copy,,,https://www.autodesk.com/shortcuts/maya
,Import,Maya,File,"Brings the contents of another file, such as an OBJ, FBX or Maya scene, into the current scene. Use for merging consultant models or asset libraries.",,,beginner,file|interoperability,organise,mesh|curve|surface,join,,,https://www.autodesk.com/shortcuts/maya
,Export Selection,Maya,File,Writes only the selected objects out to a new file in a chosen format. The standard route for handing individual assets to other software.,,,intermediate,file|interoperability,document,mesh|curve|surface,copy,,,https://www.autodesk.com/shortcuts/maya
,Create Reference,Maya,File,"Links an external scene into the current one without merging it, so the source file can keep evolving independently. Use for shared site models or repeated building assets.",Ctrl+R,,advanced,file|referencing|collaboration,organise,layout,join,,,https://www.autodesk.com/shortcuts/maya
,Optimize Scene Size,Maya,File,"Cleans unused nodes, empty transforms and stale data from the scene to reduce file size and improve stability. Run it before archiving or sharing files.",,,intermediate,file|cleanup|optimisation,organise|analyse,layout,cut,,,https://www.autodesk.com/shortcuts/maya
,Attribute Editor,Maya,Windows,Toggles the panel showing every attribute of the selected node across its full node network. Go here when the Channel Box's summary is not enough.,Ctrl+A,,beginner,editors|attributes,edit|analyse,mesh|curve|surface,navigate,,,https://www.autodesk.com/shortcuts/maya
,Channel Box,Maya,Windows,Shows the keyable transform and shape channels of the selection for quick numeric entry; Ctrl+A toggles between it and the Attribute Editor. Type exact values here for precise placement.,,,beginner,editors|attributes,edit|transform,mesh|curve|surface,move|rotate|scale,,,https://www.autodesk.com/shortcuts/maya
,Outliner,Maya,Windows,"Opens the hierarchical list of everything in the scene for selecting, renaming, parenting and reordering. The primary window for keeping a complex model organised.",,,beginner,editors|scene management|hierarchy,organise,mesh|curve|surface|layer,navigate,,,https://www.autodesk.com/shortcuts/maya
,Node Editor,Maya,Windows,"Opens a graph view of node connections for building and debugging shading networks, constraints and procedural setups. More technical than the Attribute Editor but far clearer for complex networks.",,,advanced,editors|nodes|technical,edit|analyse,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Script Editor,Maya,Windows,Opens the MEL and Python console where every action is echoed as a command. Copy echoed commands from here to build shelf buttons and automate repetitive tasks.,,,advanced,editors|scripting|automation|mel|python,edit|analyse,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Hotkey Editor,Maya,Windows,Lets you inspect and remap every keyboard shortcut in Maya. Visit it to bind frequent tools like Multi-Cut to spare keys.,,,intermediate,editors|customisation|shortcuts,organise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Preferences,Maya,Windows,"Opens Maya's settings, including working units, up axis, undo queue and viewport options. Set units to metres or millimetres before starting architectural work.",,,beginner,settings|units|customisation,organise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Polygon Cube,Maya,Create,"Creates a primitive box, the usual starting block for massing studies and hard-surface modelling. Adjust subdivisions in the Channel Box before editing.",,,beginner,primitives|polygon modelling|massing,create,mesh,,,,https://www.autodesk.com/shortcuts/maya
,Polygon Sphere,Maya,Create,"Creates a primitive UV sphere with adjustable axis and height subdivisions. A base for domes, light fittings and organic forms.",,,beginner,primitives|polygon modelling,create,mesh,,,,https://www.autodesk.com/shortcuts/maya
,Polygon Cylinder,Maya,Create,"Creates a primitive cylinder, useful for columns, handrails and circulation cores. Set cap and side subdivisions before deforming.",,,beginner,primitives|polygon modelling,create,mesh,,,,https://www.autodesk.com/shortcuts/maya
,Polygon Plane,Maya,Create,"Creates a flat, subdividable plane, the common start for terrain, floor plates and facade panels.",,,beginner,primitives|polygon modelling|terrain,create,mesh,,,,https://www.autodesk.com/shortcuts/maya
,Polygon Torus,Maya,Create,"Creates a ring-shaped primitive with controllable section radius. Useful for curved balustrades, ring beams and abstract forms.",,,beginner,primitives|polygon modelling,create,mesh,,,,https://www.autodesk.com/shortcuts/maya
,Type,Maya,Create,"Generates editable 3D text as extruded, bevelled polygon geometry with live attributes for font, tracking and depth. Handy for signage and titles in visualisations.",,,intermediate,text|signage|polygon modelling,create,mesh,thicken,,,https://www.autodesk.com/shortcuts/maya
,Combine,Maya,Mesh,Merges several polygon objects into a single mesh so their components can be edited and welded together. Combine before merging vertices or bridging between parts.,,,beginner,polygon modelling|topology,edit|organise,mesh,join,,,https://www.autodesk.com/shortcuts/maya
,Separate,Maya,Mesh,Splits a combined mesh back into independent objects along its disconnected shells. Use after Boolean or Combine operations to regain individual parts.,,,beginner,polygon modelling|topology,edit|organise,mesh,split,,,https://www.autodesk.com/shortcuts/maya
,Fill Hole,Maya,Mesh,Caps an open border of a mesh with a single face. Quick fix for gaps left by deleted faces before smoothing or Boolean work.,,,intermediate,polygon modelling|repair,edit,mesh,join,,,https://www.autodesk.com/shortcuts/maya
,Reduce,Maya,Mesh,Decimates a mesh to a target percentage or triangle count while trying to preserve shape. Use to lighten scanned site meshes or heavy consultant models.,,,intermediate,polygon modelling|optimisation|scan data,edit,mesh,smooth,,,https://www.autodesk.com/shortcuts/maya
,Remesh,Maya,Mesh,"Rebuilds a mesh with evenly sized triangles, improving the base for sculpting or further retopology. Useful on messy imported geometry.",,,advanced,polygon modelling|topology|cleanup,edit,mesh,smooth,,,https://www.autodesk.com/shortcuts/maya
,Retopologize,Maya,Mesh,"Automatically rebuilds a mesh with clean, mostly quad topology. A fast route from scan or sculpt data to geometry you can actually edit.",,,advanced,polygon modelling|topology|scan data,edit,mesh,smooth,,,https://www.autodesk.com/shortcuts/maya
,Smooth,Maya,Mesh,"Subdivides the mesh for real, rounding forms and multiplying face counts. Prefer Smooth Mesh Preview while designing and apply Smooth only when needed.",,,beginner,polygon modelling|subdivision,edit,mesh|subd,smooth,,,https://www.autodesk.com/shortcuts/maya
,Triangulate,Maya,Mesh,"Converts every face to triangles, guaranteeing planar geometry for export to game engines or analysis tools.",,,intermediate,polygon modelling|export|interoperability,edit,mesh,split,,,https://www.autodesk.com/shortcuts/maya
,Quadrangulate,Maya,Mesh,"Merges triangles back into quads where possible, making imported triangulated meshes friendlier to edit.",,,intermediate,polygon modelling|topology,edit,mesh,join,,,https://www.autodesk.com/shortcuts/maya
,Mirror,Maya,Mesh,Duplicates the mesh across a chosen axis and can merge the seam vertices automatically. The standard finish for symmetrical models built as one half.,,,intermediate,polygon modelling|symmetry,edit|transform,mesh,mirror|join,,,https://www.autodesk.com/shortcuts/maya
,Boolean Union,Maya,Mesh,"Fuses two meshes into one solid volume, removing the internal geometry. Useful for welding massing volumes together, though clean topology is not guaranteed.",,,intermediate,polygon modelling|boolean|massing,edit,mesh|solid,join,,,https://www.autodesk.com/shortcuts/maya
,Boolean Difference,Maya,Mesh,"Subtracts one mesh from another, ideal for cutting window and door openings out of walls. Expect to tidy the resulting topology afterwards.",,,intermediate,polygon modelling|boolean|openings,edit,mesh|solid,cut,,,https://www.autodesk.com/shortcuts/maya
,Boolean Intersection,Maya,Mesh,Keeps only the overlapping volume of two meshes. Useful for finding shared volumes or trimming a form to a site envelope.,,,intermediate,polygon modelling|boolean,edit,mesh|solid,cut,,,https://www.autodesk.com/shortcuts/maya
,Cleanup,Maya,Mesh,"Finds and optionally fixes problem geometry: nonmanifold edges, lamina faces, zero-area faces and more. Run it before Booleans, smoothing or export.",,,intermediate,polygon modelling|repair|diagnostics,analyse|edit,mesh,measure,,,https://www.autodesk.com/shortcuts/maya
,Transfer Attributes,Maya,Mesh,"Copies vertex positions, UVs or normals from one mesh to another with matching or similar topology. A rescue tool when UVs were made on an earlier version of a model.",,,advanced,polygon modelling|uv mapping|technical,edit,mesh,copy,,,https://www.autodesk.com/shortcuts/maya
,Extrude,Maya,Edit Mesh,"Pushes selected faces, edges or vertices outwards to create new connected geometry, with thickness, divisions and optional curve guidance. The single most-used modelling command, from raising walls to panelling facades.",Ctrl+E,,beginner,polygon modelling|topology,create|edit,mesh,thicken|offset,,,https://www.autodesk.com/shortcuts/maya
,Bevel,Maya,Edit Mesh,Rounds or chamfers selected edges with controllable width and segments. Essential for catching light on otherwise razor-sharp architectural edges.,Ctrl+B,,beginner,polygon modelling|edges|detailing,edit,mesh,smooth|offset,,,https://www.autodesk.com/shortcuts/maya
,Bridge,Maya,Edit Mesh,"Builds connecting faces between two border edge runs on the same mesh, with optional divisions and curvature. Use for linking towers, looping handrails or closing gaps.",,,intermediate,polygon modelling|topology,create|edit,mesh,join,,,https://www.autodesk.com/shortcuts/maya
,Circularize,Maya,Edit Mesh,"Rearranges selected components into a perfect circle, ideal for preparing a flat region to receive a cylindrical extrusion such as a rooflight.",,,intermediate,polygon modelling|topology,edit,mesh,smooth,,,https://www.autodesk.com/shortcuts/maya
,Collapse,Maya,Edit Mesh,"Collapses selected edges or faces so each shrinks to a single point, removing detail while keeping the surface closed. Useful for simplifying topology locally.",,,intermediate,polygon modelling|topology,edit,mesh,join|cut,,,https://www.autodesk.com/shortcuts/maya
,Connect,Maya,Edit Mesh,"Inserts new edges linking selected components, splitting the faces between them. A precise alternative to Insert Edge Loop when you only need a partial connection.",,,intermediate,polygon modelling|topology,edit,mesh,split,,,https://www.autodesk.com/shortcuts/maya
,Detach,Maya,Edit Mesh,"Splits selected components apart so faces no longer share vertices, letting you peel geometry open. Use before pulling a panel away from a surface.",,,intermediate,polygon modelling|topology,edit,mesh,split,,,https://www.autodesk.com/shortcuts/maya
,Merge,Maya,Edit Mesh,Welds selected vertices that fall within a distance threshold into single points. The standard way to stitch combined meshes together seamlessly.,,,beginner,polygon modelling|topology|welding,edit,mesh,join,,,https://www.autodesk.com/shortcuts/maya
,Merge to Center,Maya,Edit Mesh,Welds all selected vertices into one point at their average position. Quick for closing a fan of edges at a pole or apex.,,,intermediate,polygon modelling|topology|welding,edit,mesh,join,,,https://www.autodesk.com/shortcuts/maya
,Average Vertices,Maya,Edit Mesh,"Relaxes selected vertices towards the average of their neighbours, smoothing lumps without adding geometry. Apply repeatedly for a gentle ironing effect.",,,intermediate,polygon modelling|smoothing,edit,mesh,smooth,,,https://www.autodesk.com/shortcuts/maya
,Chamfer Vertex,Maya,Edit Mesh,"Replaces a vertex with a small flat face, cutting the corner. Useful for detailing junctions or preparing corner geometry.",,,intermediate,polygon modelling|detailing,edit,mesh,cut|offset,,,https://www.autodesk.com/shortcuts/maya
,Delete Edge/Vertex,Maya,Edit Mesh,"Deletes selected edges together with their now-redundant vertices, keeping the mesh clean. Always prefer this over plain Delete for removing edges.",Ctrl+Delete,,beginner,polygon modelling|topology|cleanup,edit,mesh,cut,,,https://www.autodesk.com/shortcuts/maya
,Extract,Maya,Edit Mesh,"Detaches the selected faces into a separate shell or object, leaving a hole behind. Use to break a facade panel or roof plane out of a massing model.",,,intermediate,polygon modelling|topology,edit|organise,mesh,split,,,https://www.autodesk.com/shortcuts/maya
,Poke,Maya,Edit Mesh,Adds a vertex at the centre of each selected face and fans edges to its corners. Handy for creating apex points for pyramidal roofs or spikes.,,,intermediate,polygon modelling|topology,edit,mesh,split,,,https://www.autodesk.com/shortcuts/maya
,Wedge,Maya,Edit Mesh,"Extrudes faces along an arc around a selected edge, sweeping out a wedge shape. Useful for curved ramps, vault segments and pipe elbows.",,,advanced,polygon modelling|topology,create|edit,mesh,rotate|thicken,,,https://www.autodesk.com/shortcuts/maya
,Add Divisions,Maya,Edit Mesh,Subdivides selected faces or edges a set number of times without changing shape. Use when a region needs more resolution for detailing or deformation.,,,beginner,polygon modelling|subdivision,edit,mesh,split,,,https://www.autodesk.com/shortcuts/maya
,Edit Edge Flow,Maya,Edit Mesh,"Repositions selected edges to follow the surrounding surface curvature, keeping inserted loops from flattening a curved form.",,,advanced,polygon modelling|topology,edit,mesh,smooth|move,,,https://www.autodesk.com/shortcuts/maya
,Symmetrize,Maya,Edit Mesh,"Copies geometry from one side of a topological symmetry axis to the other, restoring symmetry after asymmetric edits.",,,advanced,polygon modelling|symmetry,edit,mesh,mirror,,,https://www.autodesk.com/shortcuts/maya
,Append to Polygon Tool,Maya,Mesh Tools,"Builds new faces by clicking around open border edges, filling gaps with controlled topology. More precise than Fill Hole when the shape of the patch matters.",,,intermediate,polygon modelling|topology|repair,create|edit,mesh,join,,,https://www.autodesk.com/shortcuts/maya
,Create Polygon Tool,Maya,Mesh Tools,Draws a new polygon face point by point on the grid or in space. Useful for tracing site boundaries or floor outlines before extruding.,,,beginner,polygon modelling|drafting,create,mesh,,,,https://www.autodesk.com/shortcuts/maya
,Crease Tool,Maya,Mesh Tools,Assigns crease weights to edges so they stay sharp under smooth mesh preview or smoothing. Lets you keep crisp architectural arrises on subdivided models without extra edge loops.,,,advanced,polygon modelling|subdivision|detailing,edit,mesh|subd,smooth,,,https://www.autodesk.com/shortcuts/maya
,Insert Edge Loop,Maya,Mesh Tools,"Slices a continuous loop of edges around a mesh with one click, adding resolution exactly where you need it. Fundamental for controlling curvature and adding structural lines.",,,beginner,polygon modelling|topology,edit,mesh,split,,,https://www.autodesk.com/shortcuts/maya
,Multi-Cut,Maya,Mesh Tools,"Cuts new edges anywhere on a mesh: click-drag freeform cuts, slice along a plane, or insert loops with snapping. The Swiss-army knife for custom topology.",,,intermediate,polygon modelling|topology,edit,mesh,cut|split,,,https://www.autodesk.com/shortcuts/maya
,Offset Edge Loop,Maya,Mesh Tools,Inserts two new edge loops equally spaced either side of a selected loop. Quick way to frame a band of faces for panelling or glazing bars.,,,intermediate,polygon modelling|topology,edit,mesh,split|offset,,,https://www.autodesk.com/shortcuts/maya
,Quad Draw,Maya,Mesh Tools,"Draws clean quad topology directly on a live reference surface, point by point. The core manual retopology tool for rebuilding scans or sculpted forms.",,,advanced,polygon modelling|topology|retopology|scan data,create|edit,mesh,,,,https://www.autodesk.com/shortcuts/maya
,Slide Edge Tool,Maya,Mesh Tools,Slides selected edges or loops along the surrounding surface without breaking the surface shape. Use to fine-tune loop placement after insertion.,,,intermediate,polygon modelling|topology,edit|transform,mesh,move,,,https://www.autodesk.com/shortcuts/maya
,Target Weld Tool,Maya,Mesh Tools,Drag one vertex or edge onto another to weld them together interactively. The tidy way to close small gaps and merge corners one at a time.,,,intermediate,polygon modelling|topology|welding,edit,mesh,join,,,https://www.autodesk.com/shortcuts/maya
,Sculpting Tools,Maya,Mesh Tools,"A brush-based toolkit for pushing, smoothing, grabbing and relaxing mesh surfaces. Well suited to shaping terrain models and organic freeform studies.",,,intermediate,sculpting|terrain|organic modelling,edit,mesh,smooth|move,,,https://www.autodesk.com/shortcuts/maya
